USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024
2,1985,Female,"$25,001 - $50,000",Single (no kids),Master's Degree,,Yes,No,Yes,No,No,Public,No,Yes,Yes,Yes,No,Yes,Yes,Science,Study first,Yes,Yes,Yes,No,Giving,Yes,No,Idealist,No,Yes,Cool headed,Odd hours,Yes,Happy,Yes,Yes,No,Yes,A.M.,Yes,End,Yes,No,Me,No,Yes,No,Yes,Yes,TMI,,No,Tunes,People,Yes,Yes,No,Yes,Yes,Supportive,No,,Yes,Cautious,Yes,Yes!,,,Yes,In-person,Yes,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,,,,,,Yes,,,,,
3,1983,Male,"$50,000 - $74,999",Married (w/kids),Current Undergraduate,,,No,,Yes,Yes,Public,No,Yes,No,,,,,,Study first,No,Yes,,No,,,,,,,,,,,Yes,Yes,,,P.M.,,,,,,,,,No,,,Yes,No,,,No,,,No,Yes,,No,,Yes,Cautious,No,Yes!,No,Space,No,,,Yes,Yes,Yes,Grrr people,Yes,No,No,Yes,No,Yes,No,No,,,,,Rent,Pessimist,Dad,,,,Yes,,,,,,Yes,,Yes,Yes,No,Yes
6,1995,Male,"$75,000 - $100,000",Single (no kids),Current K-12,,,,,,,,,No,No,No,Yes,No,Yes,Science,Try first,No,Yes,No,Yes,Giving,,,,,,,,,,Yes,,,,,,,,,,Yes,No,Yes,Yes,No,TMI,No,No,Tunes,Technology,Yes,No,Yes,No,,,,,No,,No,,No,,Yes,In-person,No,No,Yes,Yes,Yay people!,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Own,Optimist,Mom,No,No,Yes,Yes,Nope,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes
7,1980,Female,"$50,000 - $74,999",Single (no kids),Master's Degree,Yes,Yes,No,Yes,Yes,Yes,Public,No,Yes,No,Yes,No,Yes,Yes,Science,Try first,Yes,No,No,Yes,Giving,Yes,Yes,Idealist,No,No,Cool headed,Standard hours,No,Happy,Yes,No,No,Yes,A.M.,Yes,Start,Yes,No,Me,Yes,No,Yes,Yes,Yes,TMI,No,Yes,Talk,People,No,No,Yes,No,Yes,Supportive,No,PC,No,Cautious,Yes,Yes!,No,Space,No,Online,No,No,Yes,Yes,Yay people!,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Own,Optimist,Dad,No,No,Yes,Yes,Nope,Yes,No,No,No,Yes,No,Yes,No,No,Yes
14,1980,Female,,Married (no kids),Current Undergraduate,,Yes,No,Yes,No,No,Public,Yes,Yes,No,Yes,Yes,No,Yes,Art,Try first,Yes,Yes,Yes,Yes,Giving,No,No,Idealist,No,Yes,Hot headed,Standard hours,Yes,Happy,Yes,Yes,Yes,No,P.M.,Yes,End,No,No,Me,No,No,No,Yes,No,TMI,No,,Tunes,Technology,No,Yes,Yes,,Yes,Supportive,Yes,Mac,Yes,Cautious,No,Yes!,No,Space,No,In-person,No,No,Yes,No,Grrr people,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Own,Pessimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,No,No,Yes,No,No,No
28,1973,Male,"over $150,000",Married (no kids),Master's Degree,No,Yes,No,Yes,No,No,Public,No,Yes,No,Yes,Yes,Yes,Yes,Science,Try first,Yes,Yes,No,No,Giving,No,Yes,Pragmatist,Yes,No,Hot headed,Odd hours,Yes,Right,Yes,Yes,Yes,Yes,P.M.,,End,Yes,Yes,Circumstances,No,Yes,No,Yes,No,TMI,Yes,No,Talk,Technology,No,Yes,Yes,No,Yes,Demanding,No,PC,Yes,Cautious,No,Umm...,No,Space,No,In-person,Yes,,Yes,Yes,Grrr people,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Own,Pessimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,No,No,Yes,No,No,Yes
29,1968,Female,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,,,,,,,,,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Start,,,,Yes,,,Yes,,,Yes,,Talk,Technology,,,,,,,Yes,PC,,,,,,,,In-person,Yes,,Yes,,,Yes,No,,Yes,,,Yes,,Yes,Yes,Yes,No,,,,Yes,Yes,Yes,Yes,Nope,Yes,,No,Yes,Yes,,Yes,No,Yes,
37,1961,Male,"over $150,000",Domestic Partners (no kids),High School Diploma,,Yes,No,Yes,,,,,Yes,No,No,No,No,Yes,Science,,,,,,,,No,,No,No,Cool headed,Odd hours,,Happy,No,,,,,Yes,,Yes,Yes,,No,Yes,Yes,Yes,,TMI,Yes,No,,,No,Yes,,,,,No,,No,Cautious,No,,,,,,,Yes,,Yes,Yay people!,Yes,,,Yes,,,No,No,,,,No,Own,Optimist,Dad,,No,No,Yes,,Yes,No,,,,No,Yes,,,
44,1989,Female,"under $25,000",Single (no kids),High School Diploma,,Yes,No,Yes,No,Yes,Public,No,Yes,No,No,Yes,Yes,No,Art,Study first,Yes,Yes,,Yes,Receiving,No,No,,,No,,Standard hours,No,,No,Yes,No,No,A.M.,Yes,Start,Yes,No,Circumstances,No,Yes,Yes,Yes,No,TMI,No,Yes,Tunes,Technology,No,No,No,No,No,Demanding,No,PC,Yes,Cautious,Yes,Yes!,No,Socialize,No,In-person,No,Yes,Yes,Yes,Yay people!,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Rent,Optimist,Mom,No,No,Yes,Yes,Nope,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
56,1975,Male,"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,No,,No,Yes,Yes,No,Public,No,Yes,No,Yes,Yes,No,Yes,Art,Try first,Yes,No,No,Yes,Giving,Yes,No,Idealist,No,Yes,,Standard hours,No,Happy,No,Yes,Yes,Yes,P.M.,No,End,Yes,No,Me,Yes,Yes,No,No,No,TMI,No,No,Talk,Technology,No,Yes,Yes,No,No,Supportive,No,PC,Yes,Risk-friendly,No,Umm...,No,Space,No,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Own,Pessimist,Mom,No,Yes,No,Yes,Nope,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No
